"ambient_temp_c_day_max","weight_delta_direction","precipitation_mm","wind_m_s","drought_index","humidity_proc","pressure_hPa","sun_hours"
22.1,"UP",0,1.6,10,59.2,1027.2,15.6
23.3,"UP",0,2.8,10,56.3,1018.2,15.7
19.5,"DOWN",0,2.7,10,66.7,1008.7,13.8
19.8,"DOWN",0.2,5.4,10,67.5,998.4,10
16,"DOWN",17.3,3.8,8.3,75.5,991.1,6.2
13.6,"DOWN",10.9,4.1,7.4,77,994.9,6.3
18.1,"DOWN",0,2.4,7.8,68.7,1005.3,7.7
18.1,"UP",0,1.3,8,78.1,1012.2,9.4
17.5,"DOWN",0,1.5,8.2,78.2,1018.3,10.5
19.9,"UP",0,1.8,8.4,77.7,1018.2,8.9
22.1,"UP",2.1,3,8.6,57.5,1016.2,4.4
19.6,"UP",2,3.2,8.5,75.7,1015.6,1.3
21.8,"UP",0,4.3,8.7,73,1017.3,7.7
21.7,"DOWN",0,4,9.2,56.8,1018.7,16
22.2,"UP",0,1.8,9.6,55.7,1017.2,16
24.1,"UP",0,2.7,9.8,65.4,1013.4,7.7
24.5,"UP",0,1.3,9.9,73.1,1013.3,10.1
24.1,"UP",2.6,1.6,9.8,71.3,1013.1,10.4
23.1,"UP",5,1.5,9.4,82,1011.7,8.2
20.1,"DOWN",13.1,3,8.1,94.5,1014.8,0
19,"DOWN",0,3,8.2,88.1,1017.9,2.6
20.3,"UP",1.2,3.1,8.3,79.5,1019.9,8.4
20.9,"UP",0,3.3,8.7,68,1024.3,15
24.7,"UP",0,1.3,9,73.3,1026.9,15.1
26.9,"UP",0,1.8,9.4,66.3,1025.5,15.9
28.1,"UP",0,3.1,9.6,68.9,1018.5,15.6
26.2,"UP",0,2.3,9.8,72.1,1010.6,11.9
24.5,"UP",1.7,1.9,9.7,84.4,1009.6,4
21.8,"DOWN",0,2.8,9.9,62.8,1009.1,11.2
17.8,"DOWN",5.8,4.9,9.4,78.6,1001.3,2.3
