dt,precipitation,wind,drought,humidity,pressure,sun
2020-06-01 00:00:00,0,1.6,10,59.2,1027.2,15.6
2020-06-02 00:00:00,0,2.8,10,56.3,1018.2,15.7
2020-06-03 00:00:00,0,2.7,10,66.7,1008.7,13.8
2020-06-04 00:00:00,0.2,5.4,10,67.5,998.4,10
2020-06-05 00:00:00,17.3,3.8,8.3,75.5,991.1,6.2
2020-06-06 00:00:00,10.9,4.1,7.4,77,994.9,6.3
2020-06-07 00:00:00,0,2.4,7.8,68.7,1005.3,7.7
2020-06-08 00:00:00,0,1.3,8,78.1,1012.2,9.4
2020-06-09 00:00:00,0,1.5,8.2,78.2,1018.3,10.5
2020-06-10 00:00:00,0,1.8,8.4,77.7,1018.2,8.9
2020-06-11 00:00:00,2.1,3,8.6,57.5,1016.2,4.4
2020-06-12 00:00:00,2,3.2,8.5,75.7,1015.6,1.3
2020-06-13 00:00:00,0,4.3,8.7,73,1017.3,7.7
2020-06-14 00:00:00,0,4,9.2,56.8,1018.7,16
2020-06-15 00:00:00,0,1.8,9.6,55.7,1017.2,16
2020-06-16 00:00:00,0,2.7,9.8,65.4,1013.4,7.7
2020-06-17 00:00:00,0,1.3,9.9,73.1,1013.3,10.1
2020-06-18 00:00:00,2.6,1.6,9.8,71.3,1013.1,10.4
2020-06-19 00:00:00,5,1.5,9.4,82,1011.7,8.2
2020-06-20 00:00:00,13.1,3,8.1,94.5,1014.8,0
2020-06-21 00:00:00,0,3,8.2,88.1,1017.9,2.6
2020-06-22 00:00:00,1.2,3.1,8.3,79.5,1019.9,8.4
2020-06-23 00:00:00,0,3.3,8.7,68,1024.3,15
2020-06-24 00:00:00,0,1.3,9,73.3,1026.9,15.1
2020-06-25 00:00:00,0,1.8,9.4,66.3,1025.5,15.9
2020-06-26 00:00:00,0,3.1,9.6,68.9,1018.5,15.6
2020-06-27 00:00:00,0,2.3,9.8,72.1,1010.6,11.9
2020-06-28 00:00:00,1.7,1.9,9.7,84.4,1009.6,4
2020-06-29 00:00:00,0,2.8,9.9,62.8,1009.1,11.2
2020-06-30 00:00:00,5.8,4.9,9.4,78.6,1001.3,2.3
